hotel_id,room_id,name,amenities
A-16062,RA-65463,Deluxe Room,King Bed|150 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|Air conditioning|Toiletries
A-03801,RA-86164,Family King room · City view,King Bed|180 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|WiFi access
A-82813,RA-59091,"Room, Tower",
A-62202,RA-90053,Deluxe Twin Room · City view,Double Bed|425 sq.ft|3 Adults|Minibar|Blanket|Ironing facilities|Air conditioning|Water bottle
A-92253,RA-17327,Standard AC · City view,Double Bed|176 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|Fan
A-65550,RA-06489,Premium Twin Room · City view,Twin Bed|200 sq.ft|2 Adults|Wardrobe/closet|Blanket|Water bottle|Attached washroom|Clothes rack
A-20053,RA-58748,2BHK · City view,King Bed|1000 sq.ft|4 Adults|Sofa|TV|Air conditioning|Toiletries|WiFi access
A-60785,RA-42887,Classic Room,Double Bed|100 sq.ft|2 Adults|Wardrobe/closet|TV|Towels|Fan|Shower
A-35486,RA-86672,Deluxe Room,Double Bed|200 sq.ft|3 Adults|Blackout curtains|Wardrobe/closet|Blanket|TV|WiFi access
A-38229,RA-58983,Deluxe Room · City view,Double Bed|200 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|WiFi access|Water bottle
A-25216,RA-73251,Premium Executive Room,
A-25561,RA-96902,Deluxe Double Room,215 sq.ft|3 Adults|Coffee machine|Wardrobe/closet|TV|Toiletries|Private bathroom
A-66313,RA-16098,Deluxe Double Non AC · City view,Double Bed|320 sq.ft|3 Adults|Blanket|TV|Toiletries|WiFi access|Water bottle
A-32648,RA-12951,DELUXE KING ROOM · City view,King Bed|200 sq.ft|3 Adults|Blanket|TV|Air conditioning|Water bottle|Clothes rack
A-40264,RA-69096,Deluxe Room with Sofa (AC) & Balcony · City view,Double Bed|175 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-39467,RA-54902,Deluxe Room,
A-54473,RA-61546,Standard Non AC · City view,Double Bed|200 sq.ft|3 Adults|Blanket|Ironing facilities|Air conditioning|Toiletries|Towels
A-60358,RA-26995,Superior King · City view,Double Bed|300 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-10044,RA-72938,Deluxe Queen Room · City view,Queen Bed|260 sq.ft|3 Adults|Fridge|Wardrobe/closet|Blanket|TV|Ironing facilities
A-20270,RA-22024,Superior Queen Bed · City view,Queen Bed|180 sq.ft|2 Adults|Blackout curtains|Blanket|TV|Air conditioning|WiFi access
A-62556,RA-23828,Executive Suite,Double Bed|200 sq.ft|3 Adults|Fridge|Minibar|Sofa|TV|Ironing facilities
A-15916,RA-53914,Deluxe Twin Beds · City view,Double Bed|124 sq.ft|3 Adults|Minibar|Flat-screen TV|Linens|Blanket|TV
A-57611,RA-15146,Standard Room,
A-87208,RA-16553,Deluxe Room · City view,Double Bed|280 sq.ft|3 Adults|Minibar|Flat-screen TV|Linens|Blanket|TV
A-48736,RA-39724,House,TwinXLBed|107 sq.ft|2 Adults|Wardrobe/closet|TV|Private bathroom|Shower|Shampoo
A-16593,RA-77499,Deluxe Room,1292 sq.ft|2 Guests|Wardrobe/closet|TV|Air conditioning|Toiletries|Towels
A-76983,RA-09799,Standard Room,3 Adults
A-27830,RA-31222,Standard Balcony Room,Queen Bed|210 sq.ft|2 Adults|Toiletries|Attached washroom|Fan|Shower
A-25504,RA-28006,Night Stay with Morning Cruise In Sharing Houseboat Check In 6 PM Check Out 09 AM,
A-51506,RA-01850,Deluxe AC Room · City view,Queen Bed|100 sq.ft|2 Adults|Flat-screen TV|TV|Iron|Toiletries|Towels
A-08836,RA-56141,Deluxe Room AC · City view,Double Bed|120 sq.ft|3 Adults|Blanket|Air conditioning|Attached washroom|Fan
A-21571,RA-67080,Four Beded Executive AC Suite · City view,Double Bed|180 sq.ft|3 Adults|Fridge|Linens|Air conditioning|Towels|Cushions
A-20508,RA-29373,Standard Non AC Room,Queen Bed|150 sq.ft|2 Adults|Blanket|TV|Towels|WiFi access|Housekeeping
A-43062,RA-98510,Budget Triple Room,1 double bed|216 sq.ft|3 Guests|Flat-screen TV|Sofa|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)
A-19667,RA-73021,Deluxe Room · City view,Double Bed|3 Adults|Blanket|WiFi access|Water bottle|Housekeeping|Attached washroom
A-26483,RA-72328,Deluxe AC King Room,King Bed|200 sq.ft|2 Adults|Blanket|TV|Air conditioning|Attached washroom|Fan
A-40259,RA-74850,"Four Seasons, Suite, Corner · Garden view",689 sq.ft|4 Adults|Fridge|Wardrobe/closet|Attached washroom|Desk|Charging points|Trash can
A-05126,RA-20952,Premium Room,
A-55421,RA-16557,Studio Apartment,2369 sq.ft|2 Guests
A-11235,RA-66297,Deluxe Room,3 Adults|Air conditioning|Water bottle|Attached washroom|Accessible by elevator
A-35855,RA-44800,Suite Room,1 Adult|Fridge|Separate living room|Dining table|Sofa|Wardrobe/closet
A-54010,RA-39014,Suite,Double Bed|100 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-05398,RA-09090,Deluxe Double · City view,Double Bed|221 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-62202,RA-18230,Executive Club Twin Room · City view,Twin Bed|425 sq.ft|3 Adults|Minibar|Blanket|Ironing facilities|Air conditioning|Water bottle
A-21571,RA-00157,Executive AC Room · City view,Double Bed|150 sq.ft|3 Adults|Fridge|TV|Towels|Fan|Dental kit
A-25448,RA-55425,Balcony room,
A-42138,RA-82345,The Towers with Balcony · City view,Double Bed|520 sq.ft|2 Adults|Minibar|Blackout curtains|Sofa|Blanket|TV
A-94479,RA-19197,Deluxe Non AC · City view,Double Bed|120 sq.ft|3 Adults|Minibar|Flat-screen TV|Linens|Air conditioning|Toiletries
A-90806,RA-14743,Vista Suites · City view,Double Bed|200 sq.ft|3 Adults|TV|Air conditioning|WiFi access|Water bottle|Attached washroom
A-43062,RA-41759,Budget Double Room,1 double bed|130 sq.ft|2 Guests|Flat-screen TV|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)|Wake up service
A-24014,RA-18075,Standard · City view,Double Bed|125 sq.ft|2 Adults|Blanket|Water bottle|Attached washroom|Clothes rack|Fan
A-43389,RA-34362,Standard Room,Double Bed|125 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-16322,RA-44969,Standard Non AC · City view,King Bed|1030 sq.ft|2 Adults|Flat-screen TV|TV|Toiletries|WiFi access|Housekeeping
A-24911,RA-31293,Deluxe Villa,
A-51638,RA-10713,Standard Room · City view,Double Bed|120 sq.ft|3 Adults|Linens|Wardrobe/closet|Blanket|TV|Toiletries
A-70639,RA-80939,Premium AC Room · City view,Double Bed|200 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Air conditioning|Toiletries
A-75381,RA-36357,Deluxe AC Room,1292 sq.ft|2 Guests|Flat-screen TV|Linens|TV|Air conditioning|Toiletries
A-21966,RA-53861,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Blanket|Toiletries|WiFi access|Water bottle|Housekeeping
A-49789,RA-21703,Common Room,Double Bed|100 sq.ft|2 Adults|Blanket|Toiletries|WiFi access|Attached washroom
A-97536,RA-97096,The Studio Room · City view,Double Bed|180 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|TV|Towels
A-32214,RA-62862,Classic,2 Adults|Flat-screen TV|Attached washroom|Fan
A-40873,RA-05956,Standard Non AC Room · City view,Double Bed|110 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|TV|Towels
A-66219,RA-29427,Premium Double or Twin Room · City view,Twin Bed|255 sq.ft|3 Adults|Fridge|Minibar|Sofa|Wardrobe/closet|Blanket
A-64510,RA-67260,Deluxe Room,Double Bed|120 sq.ft|2 Adults|Flat-screen TV|Dining area|Walk-in closet|Wardrobe/closet|Blanket
A-37324,RA-66077,Deluxe Room,
A-99804,RA-53691,Deluxe Double Room,Double Bed|160 sq.ft|3 Adults|Flat-screen TV|Air conditioning|WiFi access|Attached washroom|Fan
A-96865,RA-68240,Royal Deluxe · City view,Double Bed|150 sq.ft|2 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-35855,RA-59126,Executive Room,1 Adult|Fridge|Separate living room|Dining table|Wardrobe/closet|Blanket
A-39286,RA-21781,Double Executive Room,135 sq.ft|2 Guests|Blackout curtains|Wardrobe/closet|Air conditioning|Toiletries|Towels
A-30440,RA-71199,Deluxe Room,Double Bed|180 sq.ft|2 Adults|Flat-screen TV|Linens|Wardrobe/closet|Wake up service|Blanket
A-45999,RA-79895,Basic Room,
A-68485,RA-87779,Standard Room with Balcony · City view,Single Bed|110 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-95297,RA-98755,"Deluxe Room, City View",
A-55355,RA-21255,Queen Room · City view,3 Adults|Sofa|Wardrobe/closet|Air purifier|Water bottle|Housekeeping
A-70829,RA-40555,Double - 2 People,205 sq.ft|2 Guests|Blackout curtains|Flat-screen TV|Wardrobe/closet|TV|Ironing facilities
A-36138,RA-45208,Deluxe Double Room · City view,Double Bed|130 sq.ft|2 Adults|Flat-screen TV|Blanket|TV|Air conditioning|Toiletries
A-96180,RA-86742,Super Deluxe Room,2 Adults
A-82321,RA-95836,Deluxe EP,King Bed|284 sq.ft|3 Adults|Air conditioning|Water bottle|Attached washroom|Accessible by elevator
A-03019,RA-27043,Oak · City view,Double Bed|150 sq.ft|2 Adults|TV|Air conditioning|Towels|Fan|Conditioner|Shampoo
A-05468,RA-75327,Deluxe Room,"TwinBed,TwinXLBed|196 sq.ft|3 Adults|Bathtub or shower|Body soap|Shampoo|Toilet paper|Smoking policy – smoking available"
A-31408,RA-54962,STANDARD ROOMS · City view,Double Bed|120 sq.ft|3 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom|Shower
A-97677,RA-48640,Deluxe Suite · Pool view,King Bed|679 sq.ft|3 Adults|Fridge|Minibar|Blackout curtains|Flat-screen TV|Sofa
A-14908,RA-57924,Luxury Single Room,
A-61166,RA-90092,Standard Room · City view,Double Bed|200 sq.ft|3 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-29504,RA-71966,Deluxe Queen Room,1 queen bed|216 sq.ft|2 Guests|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)|Streaming services|Ironing facilities
A-38229,RA-43261,Executive Twin Room · City view,Twin Bed|200 sq.ft|3 Adults|Minibar|Wardrobe/closet|TV|Ironing facilities|Air conditioning
A-54423,RA-36914,Deluxe Room,Double Bed|100 sq.ft|2 Adults|Blackout curtains|Blanket|Attached washroom|Fan|Charging points|Dustbin
A-01462,RA-02604,Superior Room · City view,Double Bed|250 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Air conditioning|Toiletries
A-88903,RA-01298,1BHK,King Bed|180 sq.ft|2 Adults|Tea/coffee maker|Minibar|Blackout curtains|Flat-screen TV|Walk-in closet
A-74509,RA-78014,Premium King Room · City view,King Bed|220 sq.ft|3 Adults|Tea/coffee maker|Coffee machine|Fridge|Minibar|Blackout curtains
A-55394,RA-23223,Deluxe Luxury Ac,Queen Bed|150 sq.ft|2 Adults|Blackout curtains|Dining area|Wardrobe/closet|Air conditioning|Towels
A-04379,RA-89559,Deluxe Double Room,183 sq.ft|2 Guests|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)|Ironing facilities|Air conditioning
A-33372,RA-18539,Superior King · Grounds,375 sq.ft|3 Adults|Tea/coffee maker|Fridge|Flat-screen TV|Linens|TV
A-61546,RA-42852,Premium Room With Double Bed · City view,Double Bed|280 sq.ft|3 Adults|Fridge|Minibar|Blackout curtains|Flat-screen TV|Duvet
A-47801,RA-35894,One Bedroom Suite · Resort view,"KingBed,SofaBed|915 sq.ft|3 Adults|Coffee machine|Minibar|Blackout curtains|Wardrobe/closet|TV"
A-42163,RA-12300,Standard room · City view,Double Bed|120 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-82321,RA-75463,Premier Room CP,King Bed|200 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-64177,RA-11463,Standard Room · City view,Double Bed|186 sq.ft|3 Adults|Blanket|Air conditioning|Bathtub or shower|Attached washroom|Fan
A-51154,RA-03006,Deluxe Room · City view,Double Bed|240 sq.ft|3 Adults|Fridge|Blanket|TV|Air conditioning|WiFi access
A-04622,RA-53029,Classic,130 sq.ft|3 Adults|Flat-screen TV|Attached washroom|Fan
A-41194,RA-35209,Standard Room · City view,Double Bed|120 sq.ft|3 Adults|Blanket|Air conditioning|Toiletries|Water bottle|Housekeeping
A-91980,RA-55721,Premium Room,Double Bed|180 sq.ft|2 Adults|Flat-screen TV|Wardrobe/closet|TV|Air conditioning|Toiletries
A-85227,RA-72991,Deluxe Double Room AC,Double Bed|200 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Air conditioning|Toiletries
A-91926,RA-44042,Economy Double Room · City view,Double Bed|130 sq.ft|3 Adults|TV|Ironing facilities|Air conditioning|Towels|Fan
A-77277,RA-17855,Deluxe,
A-72019,RA-13229,Deluxe Double Room · City view,Double Bed|224 sq.ft|3 Adults|Blanket|TV|Air conditioning|Towels|Housekeeping
A-95256,RA-56269,Deluxe Room,
A-64112,RA-66876,"Deluxe Room, Balcony, City View · City view",FullBed|350 sq.ft|2 Adults|Wardrobe/closet|TV|Private bathroom|Shower|Body soap
A-45541,RA-57091,"Superior Apartment, 1 Queen Bed",
A-27140,RA-46815,Superior Double Room,3230 sq.ft|2 Guests|Sofa|Linens|Wardrobe/closet|Extra long beds (> 6.5 ft)|Air conditioning
A-19664,RA-54147,Standard Four Bed Non AC · City view,Double Bed|180 sq.ft|4 Adults|Wardrobe/closet|Blanket|TV|Toiletries|Towels
A-04042,RA-47413,Superior · Canal view,Double Bed|200 sq.ft|2 Adults|Flat-screen TV|Blanket|Air conditioning|Towels|Cushions
A-95067,RA-45059,Premium Room,
A-04571,RA-56567,Standard Double Room,
A-22726,RA-81820,"Luxury Suite, 1 King Bed · Garden view",KingBed|840 sq.ft|4 Adults|Wine/champagne|Minibar|Blackout curtains|Dining area|Dining table
A-41609,RA-73244,Deluxe Room,Double Bed|150 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-19647,RA-78721,2 BHK Apartment · City view,Queen Bed|340 sq.ft|4 Adults|Blanket|Attached washroom|Fan
A-32035,RA-83062,Standard Room,Double Bed|150 sq.ft|3 Adults|Blanket|Toiletries|WiFi access|Attached washroom
A-03422,RA-47073,"Premium Room, Balcony, City View",
A-99080,RA-70518,Deluxe Double Room (Non-A/C) · City view,Double Bed|144 sq.ft|3 Adults|Fridge|TV|Ironing facilities|WiFi access|Water bottle
A-89894,RA-30678,Executive Double or Twin Room,
A-23921,RA-79902,Luxury Suite Room with King Bed,King Bed|300 sq.ft|3 Adults|Minibar|Wardrobe/closet|Ironing facilities|Air conditioning|Towels
A-43890,RA-23417,Deluxe Twin Room · City view,Twin Bed|200 sq.ft|2 Adults|Fridge|Sofa|Wardrobe/closet|Blanket|TV
A-03622,RA-54983,Classic,Double Bed|110 sq.ft|2 Adults
A-40927,RA-93854,Twin Room · City view,Twin Bed|200 sq.ft|2 Adults|Blanket|WiFi access|Water bottle|Attached washroom|Mirror
A-17084,RA-69840,Standard King Room AC · City view,Double Bed|301 sq.ft|3 Adults|Blanket|TV|WiFi access|Water bottle|Housekeeping
A-60772,RA-65900,Deluxe Room,
A-40259,RA-28407,Premier Room Two Twin · City view,463 sq.ft|3 Adults|Coffee machine|Fridge|Minibar|Sofa|Wardrobe/closet
A-89308,RA-42192,"Deluxe Double Room, 1 King Bed, Garden View · Garden view",KingBed|180 sq.ft|2 Adults|Wine/champagne|TV|Air conditioning|Hairdryer|Shower
A-04030,RA-76097,Classic,100 sq.ft|3 Adults|Flat-screen TV|Attached washroom|Fan
A-73861,RA-50502,Compact Villa · City view,Double Bed|150 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-71836,RA-64210,Deluxe Double Room,
A-80720,RA-25530,Large Penthouse Studio · City view,King Bed|225 sq.ft|7 Adults|Fridge|Wardrobe/closet|Blanket|TV|Attached washroom
A-53505,RA-92900,Deluxe-King/Twin 8 Hours - 1800 to 0600 hrs,Double Bed|250 sq.ft|3 Adults|Blackout curtains|Flat-screen TV|Wardrobe/closet|Blanket|TV
A-72019,RA-22283,Deluxe Twin Room · City view,Double Bed|150 sq.ft|3 Adults|Wine glasses|TV|Air conditioning|Towels|Attached washroom
A-40309,RA-07342,Double Non AC Room,Double Bed|180 sq.ft|3 Adults|TV|Towels|Water bottle|Fan|Shower
A-70816,RA-43097,Deluxe King · City view,King Bed|180 sq.ft|3 Adults|Blackout curtains|Blanket|TV|Ironing facilities|Air conditioning
A-78307,RA-00224,Classic Triple Room,108 sq.ft|3 Guests|Flat-screen TV|Linens|Wardrobe/closet|TV|Air conditioning
A-58567,RA-04175,Deluxe Room · Resort view,King Bed|200 sq.ft|3 Adults|Flat-screen TV|Wardrobe/closet|Blanket|TV|Air conditioning
A-98101,RA-06612,King Room · City view,Double Bed|250 sq.ft|3 Adults|Wardrobe/closet|Blanket|TV|Ironing facilities|Air conditioning
A-83693,RA-12898,AZURE Suite Apartment A7,
A-37212,RA-93809,Suite Room · City view,Queen Bed|200 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom
A-77706,RA-76232,Guest House · City view,4 Adults|Fridge|Wardrobe/closet|Blanket|Ironing facilities|Water bottle
A-30243,RA-07172,Deluxe,Double Bed|125 sq.ft|2 Adults|Flat-screen TV|Wardrobe/closet|Blanket|TV|Air conditioning
A-25205,RA-01798,Standard Twin,Twin Bed|120 sq.ft|2 Adults|Duvet|Blanket|Toiletries|Towels|WiFi access
A-39865,RA-19446,Deluxe Twin Room,
A-94928,RA-72935,Classic Triple Room,130 sq.ft|3 Guests|Flat-screen TV|Linens|Wardrobe/closet|TV|Air conditioning
A-29218,RA-68626,Deluxe Room,Double Bed|180 sq.ft|2 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-88760,RA-52615,Classic Triple Room,108 sq.ft|3 Guests|Linens|TV|Air conditioning|Toiletries|Towels
A-40309,RA-68264,Triple Non AC Room,Triple Bed|250 sq.ft|4 Adults|TV|Towels|Fan|Shower|Conditioner
A-39239,RA-25272,Classic Room,Double Bed|130 sq.ft|2 Adults|Coffee machine|Fridge|Blanket|TV|Air conditioning
A-74509,RA-48205,Premium Twin Room · City view,Twin Bed|220 sq.ft|3 Adults|Tea/coffee maker|Coffee machine|Fridge|Minibar|Blackout curtains
A-25141,RA-82351,One Bedroom Apartment,431 sq.ft|2 Guests|Fridge|TV|Washing machine|Toiletries|Towels
A-41302,RA-27943,ROYAL DELUXE · City view,King Bed|120 sq.ft|3 Adults|Blanket|Towels|Water bottle|Housekeeping|Attached washroom
A-53678,RA-22315,Deluxe Balcony Room · City view,Double Bed|289 sq.ft|2 Adults|Minibar|Wardrobe/closet|Blanket|TV|Ironing facilities
A-74642,RA-89381,"Room, 1 King Bed, City View",KingBed|2 Adults|Smoking policy – non-smoking available|Wheelchair
A-49665,RA-46640,Premium AC Room · City view,Double Bed|220 sq.ft|3 Adults|Blackout curtains|Flat-screen TV|Linens|Blanket|TV
A-46719,RA-04836,Deluxe Double or Twin,
A-88685,RA-53000,Standard Apartment 1 Bedroom,
A-24642,RA-72368,Super Deluxe Room,
A-08114,RA-79845,Executive Queen Room · City view,Queen Bed|250 sq.ft|2 Adults|Blackout curtains|Blanket|Toiletries|Towels|WiFi access
A-69188,RA-23406,Deluxe Double Room with Air Conditioning,22 sq.ft|3 Guests|Air conditioning
A-73600,RA-85882,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Blanket|Toiletries|WiFi access|Water bottle|Housekeeping
A-85340,RA-77913,"Premium, Guest room, 1 King",King Bed|387 sq.ft|3 Adults|Tea/coffee maker|Minibar|Duvet|Feather pillow|Air conditioning
A-20974,RA-47951,Standard room,King Bed|180 sq.ft|2 Adults|Flat-screen TV|Wardrobe/closet|Wake up service|Blanket|Iron
A-49418,RA-14444,Kalyan Luxury Suite 201,
A-49665,RA-62146,Deluxe AC Room · City view,Double Bed|175 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|TV|Air conditioning
A-01779,RA-60212,Standard King Room,King Bed|150 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-33372,RA-69004,Superior Twin · Grounds,375 sq.ft|3 Adults|Tea/coffee maker|Fridge|Flat-screen TV|Linens|Blanket
A-31015,RA-06552,Standard Room,Double Bed|120 sq.ft|3 Adults|Flat-screen TV|Duvet|Blanket|Air conditioning|Cushions
A-23224,RA-41541,Deluxe AC · City view,King Bed|144 sq.ft|3 Adults|Blanket|TV|Cushions|Desk|Sanitizers
A-90037,RA-94291,Superior Room,
A-09115,RA-28707,Club Room · City view,3 Adults|Blanket|Water bottle|Attached washroom|Clothes rack|Fan
A-48328,RA-20772,"Standard Room, 1 Queen Bed, Balcony",200 sq.ft|2 Adults|Coffee machine|Fridge|Minibar|Blackout curtains|Wardrobe/closet
A-51723,RA-32535,Deluxe King Room,538 sq.ft|3 Adults|Fridge|Feather pillow|TV|Ironing facilities|Air conditioning
A-51141,RA-42779,Classic Triple Room,
A-97623,RA-55329,Super Deluxe Room,2 Adults
A-68739,RA-02462,Studio Room A/C · City view,Double Bed|120 sq.ft|2 Adults|Wardrobe/closet|Blanket|TV|Air conditioning|WiFi access
A-19834,RA-95452,Standard Twin,Twin Bed|140 sq.ft|2 Adults|Wardrobe/closet|Blanket|Toiletries|WiFi access|Water bottle
A-92830,RA-20876,Deluxe Twin Room,
A-99008,RA-80852,One-Bedroom Apartment · City view,Double Bed|750 sq.ft|4 Adults|Blackout curtains|Sofa|Blanket|TV|Air conditioning
A-06548,RA-59166,Classic Room,180 sq.ft|3 Adults|Separate living room|Dining table|Wardrobe/closet|Blanket|TV
A-04138,RA-87413,3 Bed Family Room Non AC · City view,Double Bed|240 sq.ft|3 Adults|Blanket|TV|Toiletries|WiFi access|Water bottle
A-31009,RA-14946,Premium,4306 sq.ft|2 Guests|Flat-screen TV|TV|Air conditioning|Desk|Charging points
A-09722,RA-45167,Deluxe with Twin Bed,Double Bed|150 sq.ft|2 Adults|Flat-screen TV|Attached washroom|Fan
A-94828,RA-40436,Deluxe Queen,Double Bed|160 sq.ft|2 Adults|Blackout curtains|Flat-screen TV|Duvet|Linens|Wardrobe/closet
