id,name,address,lat,lon,stars,amenities,image_urls
B-31475,Fabhotel Marella Suites,"33, Nisarga Layout, Opposite RNSIT, College, Rajarajeshwari Nagar, Bengaluru, Karnataka, India, 560098",12.909173,77.5222,3.0,Smoking Area|Smoking Area|Breakfast|Upper Floors Accessible By Stairs Only|Wheelchair Accessible|Safe Deposit Box,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31475/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31475/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31475/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31475/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31475/4.jpg
B-29296,Twilight Terrace Spacez Villa w/ Private Theater,"1961, South End D Cross Road, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, Bangalore, Karnataka, India, 560069",12.915565,77.59383,3.0,Air Conditioner|Commercial Shops|Room Service|Parking|Pet Friendly|Housekeeping|Cctv|Doctor,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-29296/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-29296/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-29296/2.png|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-29296/3.png|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-29296/4.png
B-09523,Misty Blues Flat 4,"F-2, E1/86, Govardhan Villa, 4th Cross, Syndicate Bank Colony, Banner Ghata Road,, BANGALORE, India, 560076",12.982218,77.54625,,,
B-90045,The Elite Royale,"13th Cross Rd, Bengaluru, KA, India, 560102",12.915828,77.634476,3.0,Bar/Lounges|Coffee Shop/Cafe|Front Entrance Ramp|Hair Salon|Laundry Facilities|Breakfast|Breakfast|Coffee/Tea|Restaurant|Snack Bar|Spa|Spa|Spa|Wifi|Wired Internet|Parking|Parking|Parking|Valet Parking|Elevator|Wheelchair Accessible|Wheelchair Accessible|Luggage Storage|Reception Hall|Tours/Ticket Assistance|Lockers Available,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90045/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90045/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90045/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90045/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90045/4.jpg
B-23616,Collection O Vittala Comfort Near Ascendas Park Square Mall,"109, 2nd Main Rd, Belathur, Kadugodi Post, Bangalore, Karnataka, India, 560067",13.00593,77.75656,3.0,Smoking Area|Room Service|Wifi|Tv|Elevator|Cctv|Fire Safety,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-23616/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-23616/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-23616/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-23616/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-23616/4.jpg
B-21405,Hotel Champion Palace,"Indian Oil Petrol bunk, 38 Outer Ring Road, Prem Nagar, beside n, near BMTC Bus Depot, BANGALORE, India, 560058",12.994595,77.52236,3.0,,
B-07163,Kickout Unit of NH207,"No. 2719 and 2720 Kengeri, Sir M Vishweshwaraiah Layout, 1st Block, Bengaluru, India, 560060",12.933513,77.487785,3.0,,
B-56993,FabHotel Tangerine Suites,"Site No 04 plot no 39/1, Dasarahalli Main Road, Hebbal Kempapura, Bangalore, Karnataka, India, 560024",13.054971,77.60581,3.0,Air Conditioner|Room Service|Housekeeping|Doctor,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-56993/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-56993/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-56993/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-56993/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-56993/4.jpg
B-83513,Samrudhi Suites,"No.94/1, 1st Cross Road, Karnataka560100, India, Bangalore, Karnataka, India, 560100",12.848783,77.651054,2.0,Salon|Smoke-Complimentary Property|Terrace|Fitness Center|Airport Transportation|Elevator,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-83513/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-83513/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-83513/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-83513/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-83513/4.jpg
B-00700,Hotel O Gks Residency,"20, Off 100 Feet Road, Near Citi Bank ATM, Vysya Bank Colony, BTM Layout 2nd StageNear Jayadeva circel, Vysya Bank Colony, Bangalore, Bangalore, Karnataka, India, 560076",12.916333,77.60175,3.0,Air Conditioner|Check-In|Laundry Facilities|Seating Area|Smoke-Complimentary Property|Bathroom|Clothes Rack|Fan|Mirror|Shower|Toiletries|Breakfast|Breakfast|Room Service|Tv|Tv|Wifi|Wifi|Wifi|Elevator|Family Room|Front Desk|Housekeeping|Luggage Storage|Tours|Fire Extinguishers|Sanitization|First Aid Kit|Cashless Payment Service,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-00700/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-00700/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-00700/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-00700/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-00700/4.jpg
B-24912,SK Residency,"922 1st main road,  Beside Wipro Park Signal, 1st main road koramangala, 1st block , Bangalore, 922, Bangalore, Karnataka, India, 560034",12.929492,77.633385,3.0,Check-In|Currency Exchange|Food Delivery|Iron/Ironing Board|Laundry Facilities|Laundry Facilities|Laundry Facilities|Lockers|Private Check-In Checkout|Smoke Alarms|Smoking Area|Terrace|Face Masks|Fan|Heating|Shower|Soundproof Rooms|Toiletries|Non-Smoking Rooms|Individually-Wrapped Food Options|Restaurant|Room Service|Shared Kitchen|Tv|Wifi|Wifi|Wifi|Wifi|Wifi|Airport Transportation|Car Rental|Parking|Elevator|Family Room|Pet Friendly|Concierge|Front Desk|Grooming Service|Hotel Room Service App|Housekeeping|Luggage Storage|Tours|Doctor|Fire Extinguishers|Locker|First Aid Kit|Cashless Payment Service|Invoice Provided,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-24912/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-24912/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-24912/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-24912/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-24912/4.jpg
B-31459,Sri Pavani Comforts,", Chikkabanavara, Bangalore, Karnataka, India, 560090",13.07539,77.50939,5.0,Laundry Facilities|Wifi|Wifi|Airport Transportation|Front Desk|Housekeeping,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31459/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31459/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31459/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31459/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-31459/4.jpg
B-86448,Z Express Lakefront,"Site no 80/14/38/1-3, presently bearing BBMP khata no 1953/14/38/1-3, with survey number 38/1, situated at Ibbalur Village, Beegur hobbali, bangalore south taluk, Bangalore, India, Bangalore, Karnataka, India, 560103",12.922131,77.66516,2.0,Smoke-Complimentary Property|Terrace|Bilingual Staff|Common Seating Area|Kitchen|Wifi|Parking|Elevator|Housekeeping|Multilingual Staff|Cctv,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-86448/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-86448/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-86448/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-86448/3.png|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-86448/4.png
B-28143,Yahweh Suites,"SY# 195/15, 3rd Main Road, 3rd A Cross, Near SBI Branch Hoodi Branch, Hoodi, ITPL Main Road, Whitefield, Bangalore, BANGALORE, India, 560048",12.99,77.72,3.0,,
B-66999,Fabhotel Gr Btm Layout,"29th Main Road, 1, 15th Cross Rd, EWS Colony, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka, India, 560076",12.906836,77.6127,3.0,Smoking Area|Smoking Area|Breakfast|Upper Floors Accessible By Stairs Only|Wheelchair Accessible|Safe Deposit Box,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-66999/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-66999/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-66999/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-66999/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-66999/4.jpg
B-98898,Veritas grand,"Near Manyata back gate no 5, Veritas Grand, Bangalore, Karnataka, India, 560077",13.05676,77.626656,2.0,Laundry Facilities|Laundry Facilities|Smoke-Complimentary Property|Towels|Breakfast|Coffee/Tea|Hosted Evening Meal|Restaurant|Snack Bar|Wifi|No Accessible Shuttle|Parking|Wheelchair Accessible,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-98898/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-98898/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-98898/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-98898/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-98898/4.jpg
B-55674,UPAR Hotels Indiranagar,"614 12th Main Rd, Bengaluru, KA, India, 560038",12.970381,77.64584,3.0,Laundry Facilities|Laundry Facilities|Smoking Area|Smoking Area|Towels|Banquet Facilities|Wifi|Parking|Parking|Parking|Elevator|Wheelchair Accessible|Wheelchair Accessible|Wheelchair Accessible|Wheelchair Accessible|Wheelchair Accessible|Conference Space|Meeting/Conference Facilities,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-55674/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-55674/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-55674/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-55674/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-55674/4.jpg
B-13055,Sri Sai Guru Comforts,"Nava Chaitanya Grand VEG, 2nd Cross Rd, Babusabpalya, Kalyan Nagar, Bengaluru, Karnataka 560043, Bangalore, Karnataka, India, 560043",13.022575,77.64889,3.0,Room Service|Airport Transportation|Elevator|Housekeeping|Cctv|Doctor,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13055/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13055/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13055/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13055/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13055/4.jpeg
B-13298,Wonder Stay Hotel by HAH,"#595, SK Arcade, 1st Main Rd,, AECS Laout, Brookefield, Bengaluru, Bengaluru, Karnataka, India, 560037",12.958608,77.71199,3.0,Atm/Cash Machine|Laundry Facilities|Laundry Facilities|Smoking Area|Breakfast|Breakfast|Wifi|Parking|Parking|Elevator|Elevator|Elevator|Wheelchair Accessible|Wheelchair Accessible,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13298/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13298/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13298/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13298/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-13298/4.jpg
B-37515,Edition O 30004 Malleswaram,"18 & 19 Emerald Residency Building 1st Cross Malleshwaram Near Mantri Mall 560003 Bengaluru  IN, 18 & 19 Emerald Residency Building, Bengaluru, India, 560003",12.9942,77.57252,3.0,Wifi,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-37515/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-37515/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-37515/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-37515/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-37515/4.jpg
B-18027,Bloom Hotel - Jayanagar,"100 Feet Ring Rd  3rd Phase J. P. Nagar, 123/49,3rd, C Main, East End, Bengaluru, KA, India, 560078",12.916592,77.598175,3.0,Laundry Facilities|Laundry Facilities|Smoking Area|Towels|Breakfast|Restaurant|Wifi|No Accessible Shuttle|Wheelchair Accessible|Luggage Storage|Tours/Ticket Assistance|Lockers Available,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-18027/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-18027/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-18027/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-18027/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-18027/4.jpg
B-17743,Hotel Metro Park,"19, Tippu Sultan Palace Rd, Kalasipalya, Bengaluru, Karnataka 560002, Bangalore, Karnataka, India, 560002",12.959085,77.576614,3.0,Air Conditioner|Laundry Facilities|Common Seating Area|Air Conditioner|Shower|Restaurant|Wifi|Room Upgrade|Airport Transportation|Parking|Elevator|Housekeeping|Multilingual Staff|Cctv|Fire Safety,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-17743/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-17743/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-17743/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-17743/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-17743/4.jpg
B-39090,Super Collection O Druvi Corporate Hotel,"#223/d Kanappana Agrahara, Begur Hobli Bangalore South Taluk Bangalore Karnataka 560100 India, Bangalore, Karnataka, India, 560100",12.854359,77.66693,3.0,Air Conditioner|Check-In|Food Delivery|Laundry Facilities|Laundry Facilities|Seating Area|Bathroom|Clothes Rack|Fan|Mirror|Shower|Toiletries|Towels|Room Service|Tv|Wifi|Wifi|Wifi|Wifi|Elevator|Front Desk|Hotel Room Service App|Housekeeping|Luggage Storage|Fire Extinguishers|Sanitization|First Aid Kit|Cashless Payment Service,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-39090/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-39090/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-39090/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-39090/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-39090/4.jpg
B-59339,Aishwarya Inn,"NH 75 Katamnallur Gate, Old Madras Road, K.R Puram, Bangalore, BANGALORE, India, 560049",13.05,77.76,3.0,,
B-10185,parkwood inn executive roooms,"Opposite 10th Cross Road Arekempanahalli, Parkwood Inn Executive Rooms, Bangalore, Karnataka, India, 560027",12.944897,77.595024,2.0,Dry Cleaning|Food Delivery|Laundry Facilities|Laundry Facilities|Laundry Facilities|Private Check-In Checkout|Smoke-Complimentary Property|Terrace|Face Masks|Fan|Complimentary Bottled Water|Shower|Toiletries|Towels|Non-Smoking Rooms|Individually-Wrapped Food Options|Room Service|Shared Kitchen|Fireplace|Tv|Wifi|Wifi|Wifi|Wifi|Airport Transportation|Car Rental|Parking|Accessible By Elevator|Elevator|Family Room|Front Desk|Hotel Room Service App|Housekeeping|Luggage Storage|Fire Extinguishers|Sanitization|First Aid Kit|Cash Withdrawal|Cashless Payment Service|Invoice Provided,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10185/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10185/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10185/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10185/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10185/4.jpg
B-42358,Green Leaf International Comfort,"Hosahalli Main Road  562157 Bengaluru  IN, Hosahalli Main Road, Bengaluru, India, 562157",13.14351,77.62161,2.0,,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-42358/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-42358/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-42358/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-42358/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-42358/4.jpg
B-23451,Urban Sqaur Stay,"AECS Layout Singasandra, Bengaluru, India, 560068",12.885579,77.64955,3.0,,
